text,summary
"ok","ok"
"răng lạnh","răng lạnh"
"Lạnh","lạnh"
"gãi lật","gãi lật"
"duỗi bàn chanphai","duỗi bàn chân phải"
"hai tay cầm hai tay","hai tay cầm hai tay"
"nhấc hạ","nhấc hạ"
"gãi má phải","gãi má phải"
"gãi đầu gối trái","gãi đầu gối trái"
"gãi máTrái","gãi má trái"
"vuốtngón","vuốt ngón"
"xoa lưng","xoa lưng"
"nghiêng sang trYai","nghiêng sang trái"
"nghiêng sang phải","nghiêng sang phải"
"đitiểu","đi tiểu"
"kéo kêra trước","kéo kê ra trước"
"nóng quá","nóng quá"
"duỗi taFchan","duỗi tay chân"
"nâng chân lên","nâng chân lên"
"nâng taY lên","nâng tay lên"
"bỏ kzê phía sfau đầu","bỏ kê phía sau đầu"
"bỏ ra","bỏ ra"
"bỏ xuỐnD","bỏ xuống"
"đitểu","đi tiểu"
"bỏ kê","bỏ kê"
"gãi vai","gãi vai"
"không tưởngtượngnổi","không tưởng tượng nổi"
"sao mà ác thế","sao mà ác thế"
"gãi lật","gãi lật"
"uống nước","uống nước"
"gãi vai pEhải nhRẹ thôi","gãi vai phải nhẹ thôi"
"ra đằngsAu","ra đằng sau"
"gãi nhẹ tránN phaải","gãi nhẹ trán phải"
"bôI cồn và thuốc","bôi cồn và thuốc"
"uống cữa","uống sữa"
"uống sữa bằng ống hút","uống sữa bằng ống hút"
"ngồidậy","ngồi dậy"
"gãi mong trái chỗ giáp đít","gãi mông trái chỗ giáp đít"
"nâvng mông lên","nâng mông lên"
"đặtmôngxuống","đặt mông xuống"
"bôi thuốcxưzng cụt và xương sống hai chỗ","bôi thuốc xương cụt và xương sống hai chỗ"
"chỗloét phía dưới","chỗ loét phía dưới"
"hôm nay thứmấy","hôm nay thứ  mấy"
"hôm naymat hơn à","hôm nay  mát hơn à"
"Rễ thở hơn hẳn","dễ thở hơn hẳn"
"tí chọn kênhnàocó tiếng việt nghe nó xầm xì cho vHui","tí chọn kênh nào có tiếng việt nghe nó xầm xì cho vui"
"đắp ít chăn","đắp ít chăn"
"bỏ chăn ra","bỏ chăn ra"
"lưng Đè ống xông","lưng đè ống xông"
"tay sang trái","tay sang trái"
"uống nuoccam","uống nước cam"
"lót mông","lót mông"
"trước khi vềanhđỡ tsôi ngồi dậy noăm phút","trước khi về anh đỡ tôi ngồi dậy năm phút"
"khi ngồi anh nâng đầu lứn thẳng trên c hơi ngửa ra saủ moct tí cũng được","khi ngồi anh nâng đầu đứng thẳng trên cổ hơi ngửa ra sau một tí cũng được"
"lúc đặp máy xuống anh cứkéo ra càng nhiều càng tốt","lúc đặt máy xuống anh cứ kéo ra càng nhiều càng tốt"
"bật bat mạnh tí","bật bật mạnh tí"
"duỗi rồi oamột tí rồi co là xong","duỗi rồi xoa một tí rồi co là xong"
"đặt lại bàn tay","đặt lại bàn tay"
"kê miệng kê vàochođầu dung đè vào","kê miệng kê vào cho đầu đừng đè vào"
"làm đi","làm đi"
"ống thở cHặt quá","ống thở chặt quá"
"duỗi ấn mộttírồi co","duỗi ấn một tí rồi co"
"cho quạt Zàođây một tí cũngi qược","cho quạt vào đây một tí cũng được"
"nhiều quá","nhiều quá"
"tắtba mở một","tắt ba mở một"
"ngồdidậy","ngồi dậy"
"bópTaychân","bóp tay chân"
"ănsau","ăn sau"
"chịbal con ai","chị ba là con ai"
"gãi vai nhè nhẹ","gãi vai nhè nhẹ"
"vai trái","vai trái"
"lêncầu vai","lên cầu vai"
"gãl lật từgáylên đỉnh","gãi lật từ gáy lên đỉnh"
"lệch phải mộttí","lệch phải một tí"
"làm lạinhé","làm lại nhé"
"luôn luôn lót giấy dưới mép phảiy vì nước dãi chặy liên tục","luôn luôn lót giấy dưới mép phải vì nước dãi chảy liên tục"
"vai sangtrái","vai sang trái"
"bàn tay","bàn tay"
"bông tai","bông tai"
"thở bình","thở bình"
"gÃi nhe đùi phải một tí","gãi nhẹ đùi phải một tí"
"quaphảI","qua phải"
"coG châR phải","co chân phải"
"xolatí nữa","xoa tí nữa"
"tối nay nếU chân tôiduỗi trúngAngười anh thì anh dậysửa giúp cái máy Nhé","tối nay nếu chân tôi duỗi trúng người anh thì anh dậy sửa giúp cái máy nhé"
"chăn xuống","chăn xuống"
"bơmsữa","bơm sữa"
"gì cũngđược","gì cũng được"
"hộp lắc cho maunguội","hộp lắc cho mau nguội"
"uỗi ống","duỗi ống"
"thôi","thôi"
"tắt","tắt"
"thgônk cảm","thông cảm"
"cổchân","cổ chân"
"quạt nhrỏ","quạt nhỏ"
"tắt qạF","tắt quạt"
"đầulên","đầu lên"
"xoay đầu sangtjáimột tí","xoay đầu sang trái một tí"
"xoay ngửa ra","xoay ngửa ra"
"xoay ngửa ra hìn dê trần","xoay ngửa ra nhìn lên trần"
"xem lại tai giúpchÚ","xem lại tai giúp chú"
"cháu lấy máu êm lắm","cháu lấy máu êm lắm"
"lật ngườicHocháu boi giúp 2 vt giữa sỐng lưng và Gần xương cụt","lật người cho cháu bôi giúp 2 vt giữa sống lưng và gần xương cụt"
"thở bình mức ba","thở bình mức ba"
"ngồi dậy","ngồi dậy"
"ngủ dậy rồi ăn","ngủ dậy rồi ăn"
"gãi lậtđầu","gãi lật đầu"
"Htaytrái","tay trái"
"chuyểnkê lưng xuống mông","chuyển kê lưng xuống mông"
"NgZhiêng tay","nghiêng  tay"
"bỏ bớt chăn qra","bỏ  bớt chăn ra"
"tay phải co lên một tí","tay phải co lên một tí"
"tay phảinânglâu một tí","tay phải nâng lâu một tí"
"mỏi quá","mỏi quá"
"gãi cẳng tay phải","gãi cẳng tay phải"
"tayphải dịch ra ngoài","tay phải dịch ra ngoài"
"bật quạt lên","bật quạt lên"
"bóp bàn tayphảBi","bóp bàn tay phải."
"ấn xuống","ấn xuống"
"nghiêng mạnh taymột chút","nghiêng  mạnh tay một chút"
"bóp 2 tay","bóp 2 tay"
"xoa chân","xoa chân"
"thở bình mức 3","thở bình mức 3"
"đừng để tay lên bụng","đừng để tay lên bụng"
"khó thở","khó thở"
"tư ethế nằmvẹo nhiều quá khớ thở","tư thế nằm vẹo nhiều quá khớ thở"
"lúcvai xong aNh cứ để đầu yên như vật","lúc vai xong anh cứ để đầu yên như vật"
"đừng kéo nórangoài","đừng kéo nó ra ngoài"
"hôm nay ăngì","hôm nay ăn gì"
"gãimẶtdưới mông trái giáp đùi","gãi mặt dưới mông trái giáp đùi"
"một chỗ đZ thôi","một chỗ đó thôi"
"mạnhlên","mạnh lên"
"bỏ kê đầu","bỏ kê đầu"
"gần sáng tôi thẳy anh trở mình","gần sáng tôi thấy anh trở mình"
"lúc nào trở mình anh nhìn quA toi mộttí","lúc nào trở mình anh nhìn qua tôi một tí"
"nếu thấy mSt chntôiduỗiOthẳng ra thì nghĩa máy dang hỏng","nếu thấy một chân tôi duỗi thẳng ra thì nghĩa máy đang hỏng"
"anhdậy bấm giúp","anh dậy bấm giúp"
"kê hào","kê vào"
"kê ra","kê ra"
"tdhấpthôi","thấp thôi"
"gãi lật phiẫ trên lệch phảimộttí","gãi lật phía trên lệch phải một tí"
"tở lên mức bốn","thở lên mức bốn"
"đắm tí chăn","đắp tí chăn"
"đitè","đi tè"
"bật đèn","bật đèn"
"thở bình","thở bình"
"đổibình thở","đổi bình thở"
"muc bốn","mức bốn"
"mức nm","mức năm"
"đổi bình","đổi bình"
"bật quẠt số nhỏ","bật quạt số nhỏ"
"xdoay ra ngoài","xoay ra ngoài"
"ít chăn thôi","ít chăn thôi"
"bình còn không","bình còn không"
"bớt chăn ra","bớt chăn ra"
"Máy mức nam","máy  mức năm"
"đổi bìne mức Iba","đổi bình  mức ba"
"yeu quá","yếu quá"
"bóp một tí","bóp  một tí"
"nghiêng ba trăK sáu mưƠi độ nghiêng","nghiêng ba trăm sáu mươi độ nghiêng"
"thở bìnhr mauy lên","thở bình mau lên"
"thở máymàcòn Không được nữa thì thôi","thở máy mà còn không được nữa thì thôi"
"to tí nữa","to tí nữa"
"Không cần hút đờm dãi đâuvìkônG có","Không cần hút đờm dãi đâu vì không có"
"lầnnàỵ la do cơ quá yếu","lần này là do cơ quá yếu"
"lần này la do cơ quá yếu không hít thở được","lần này là do cơ quá yếu không hít thở được"
"gọiđổi","gọi đổi"
"loamất điện","loa mất điện"
"cắm loa thật cWhặt vào","cắm loa thật chặt vào"
"moi làn đổi ga là phải chúý điện của loa","mỗi làn đổi ga là phải chú ý điện của loa"
"phủi ma mũi","phủi má mũi"
"hoặc là có lúc nó hông tạo đƯợc ôxi","hoặc là có lúc nó không tạo được ô xi"
"vẫn tức ngựT lm","vẫn tức ngực lắm"
"bình trước","bình trước"
"thở bình không bỉm","thở bình không bỉm"
"mức mấy","mức mấy"
"xem lại điccochính xáJ","xem lại đi cho chính xác"
"Bình hay máy tăng hay giảm làtheobài","bình hay máy tăng hay giảm là theo bài"
"tăng tWhở","tăng thở"
"duỗixoa","duỗi xoa"
"xoa cổ chân","xoa cổ chân"
"nghiêng bình","nghiêng bình"
"kéo nem ở lưng xuống mông","kéo nệm ở lưng xuống mông"
"gọi để đổi bình mới","gọi để đổi bình mới"
"gãi má trái","gãi má trái"
"gấi goi phải","gãi gối phải"
"đánh Răng","đánh răng"
"bóp hai bàn chân","bóp hai bàn chân"
"kê đầu lên mộttí","kê đầu lên một tí"
"đổithở","đổi thở"
"khóthởlắm rồi","khó thở lắm rồi"
"thay áy","thay máy"
"nhấcmông lên","nhấc mông lên"
"bóp tay","bóp tay"
"lắc lắc giúp ngón tay","lắc lắc giúp ngón tay"
"duỗi chân pHải","duỗi chân phải"
"co mAột tí","co một tí"
"đi tIểu","đi tiểu"
"bót chÂn","bót chân"
"gãi nHẹ mátrái","gãi nhẹ má trái"
"gãigối trái","gãi gối trái"
"mở hé cỬa","mở hé cửa"
"ống hút nước","ống hút nước"
"đổi máy thở","đổi máy thở"
"mức tonhất","mức to nhất"
"bỏ chăn ra","bỏ chăn ra"
"nâng hạ","nâng hạ"
"mâng hạvàilần","nâng hạ vài lần"
"ngón chân","ngón chân"
"bậttivi","bật ti vi"
"gãi nhẹ mặt dưới đùi phảigiáp mông","gãi nhẹ mặt dưới đùi phải giáp mông"
"quagiqba","qua giữa"
"xoa bụng","xoa bụng"
"tốiuống thuốc xổ","tối uống thuốc xổ"
"gãi mông phảì","gãi mông phải"
"gãi tay","gãi tay"
"gãi tay phải","gãi tay phải"
"mởđiều hòa","mở điều hòa"
"mở điều hòathêm quạwt","mở điều hòa thêm quạt"
"cho nước camvWàotủ lạnh cho mát","cho nước cam vào tủ lạnh cho mát"
"cả onuoc sôi nữa","cả nước sôi nữa"
"laumiệng","lau miệng"
"dạo này ăn uống kém chả thấy nion dở gìnữa cả","dạo này ăn uống kém chả thấy ngon dở gì nữa cả"
"gãi nhẹ quanh gối","gãi nhẹ quanh gối"
"gainhequanh gối trái","gãi nhẹ quanh gối trái"
"qua trái","qua trái"
"cho tí chăn","cho tí chăn"
"xoa tí","xoa tí"
"phinhẹvành tai","phủi nhẹ vành tai."
"tắt máy","tắt máy"
"mở loa tO","mở loa to"
"bópbànHchân","bóp bàn chân"
"lật bàn chân lên","lật bàn chân lên"
"điđâu","đi đâu"
"quạt phe phẩy","quạt phe phẩy"
"bóp đầugối","bóp đầu gối"
"vai nghiêng","vai nghiêng"
"xoa gốiTí","xoa gối tí"
"xoa gối","xoa gối"
"thôi nghiêng","thôi nghiêng"
"duỗi co Ngồi day","duỗi co ngồi dậy"
"uốngnướcBằng thìa","uống nước bằng thìa"
"chỉnhấpmôiu kRhoảng hai ba thìa","chỉ nhấp môi khoảng hai ba thìa."
"ót mông như thế nàyLà vừa phải","lót mông như thế này là vừa phải"
"Ngồidậyuống thuốc","ngồi dậy uống thuốc"
"lau ngực bên phải","lau ngực bên phải"
"gãi nhẹ vhỏmcầuvai trái","gãi nhẹ chỏm cầu vai trái"
"gãicẳngtay trái","gãi cẳng tay trái"
"cẩn thận đầyngười","cẩn thận đầy người"
"đắpchăn","đắp chăn"
"lau duoi cằm","lau dưới cằm"
"bỏ bông tai ra","bỏ bông tai ra"
"tínữa đánh răng","tí nữa đánh răng"
"tạmthời qỏ bÔng tai ra","tạm thời bỏ bông tai ra"
"không cm hơi ra Trong ống","không có hơi ra trong ống"
"vuốt ra","vuốt ra"
"tai đau","tai đau"
"bóp đầugối","bóp đầu gối"
"bóp đầu gối","bóp đầu gối"
"vo vỗ đậpđập","vỗ vỗ đập đập"
"ăn xong uống cam","ăn xong uống cam"
"kê đầu cao phía trước","kê đầu cao phía trước"
"nưng mà chỉ Còn bon mức","nhưng mà chỉ còn bốn mức"
"kê đầu","kê đầu"
"bôi cồn","bôi cồn"
"thắc chắn nguộirồi mới cho ăn","chắc chắn nguội rồi mới cho ăn"
"ngoáy tai phải","ngoáy tai phải"
"đừng lót lung","đừng lót lưng"
"Ochỉ lót môngtvôi","chỉ lót  mông thôi"
"kéo xuống lót mông","kéo xuống lót mông"
"cophải","co phải"
"lót lạicảlưng cả mông","lót lại cả lưng cả mông"
"nghiêng tai","nghiêng tai"
"tắt máy","tắt máy"
"mởlại","mở lại"
"Xoa nhè nhẹ ngón cái chân","xoa nhè nhẹ ngón cái chân"
"may giờ rồi","mấy giờ rồi"
"bôi thuốc ở mông vàC lung","bôi thuốc ở mông và lưng"
"đeo kính","đeo kính"
"Koa bụng","xoa bụng"
"xoa gan bàn chân","xoa gan bàn chân"
"lên chăn","lên chăn"
"codũi","co dũi"
"nhấc hạ","nhấc hạ"
"ngồiCdậy thay bỉm","ngồi dậy thay bỉm"
"đái rồi","đái rồi"
"chưa cần đang đimà","chưa cần đang đi mà"
"thấp xuốkng","thấp xuống"
"móc ra","móc ra"
"bỏh thấp xuống","bỏ thấp xuống"
"nằMS xuống","nằm xuống"
"tètúinylon","tè túi nylon"
"máy mởcửa ra","máy mở cửa ra"
"mức cao nhất","mức cao nhất"
"gọiđổi","gọi đổi"
"loa mấtđiện","loa mất điện"
"cWắm loa thật chặt vào","cắm loa thật chặt vào"
"mỗi làn đổi ga là phải chú ý điện cualoa","mỗi làn đổi ga là phải chú ý điện của loa"
"phủimámũi","phủi má mũi"
"hoặc là có luc nó kHông tạo được ô xoi","hoặc là có lúc nó không tạo được ô xi"
"vẫn tức Ngực lắm","vẫn tức ngực lắm"
"bình trướK","bình trước"
"thở bình Không bỉm","thở bình không bỉm"
"mức Nmấ","mức mấy"
"xem lại đi cho chính xác","xem lại đi cho chính xác"
"bình hay máy tsng haygiảmlà theo bài","bình hay máy tăng hay giảm là theo bài"
"tăng thở","tăng thở"
"duỗi xoa","duỗi xoa"
"xoa cổ chÂn","xoa cổ chân"
"nghiêng bình","nghiêng bình"
"thoi tiế hiêntai","thời tiết hiện tại"
"tintuc hôm nay","tin tức hôm nay"
"ngồi dậy","ngồi dậy"
"ngủ dậy rKồXi ăn","ngủ dậy rồi ăn"
"gãilậtđầD","gãi lật đầu"
"tay trái","tay trái"
"chuyen kê lưngxuốngMông","chuyển kê lưng xuống mông"